,Andrej Babiš,Andrej Babiš*,Danuše Nerudová,Danuše Nerudová*,Marek Hilšer,Marek Hilšer*,Pavel Fischer,Pavel Fischer*,Petr Pavel,Petr Pavel*,Jaroslav Bašta,Jaroslav Bašta*,Josef Středula,Josef Středula*,Karel Diviš,Karel Diviš*,Tomáš Zima,Tomáš Zima*
1. Prezident/ka by měl/a mít pravomoc navrhovat zákony.,-1,,-1,,-1,,-1,,-1,,-1,,1,,-1,"Prezident není a nemá být nástrojem zákonodárné moci. Pokud už chce něco podobného iniciovat, může inspirovat poslance či senátory. ",1,
"2. Souhlasím s tím, aby byla na Hradě vyvěšená vlajka Evropské unie.",1,,1,,1,,1,,1,,-1,,1,,-1,"Jde o symbol české státnosti, výhradně. Další vlajky tu mohou zavlát ad hoc např. při významné státní návštěvě, jinak ne. ",1,
3. Lánská obora má být veřejně přístupná.,1,,1,,1,,1,,1,,-1,"jde o oboru, to některé aktivity vylučuje",-1,,1,,1,
"4. Souhlasím s tím, aby prezident/ka podporoval/a Ukrajinu vyvěšením vlajky na Hradě.",-1,,1,,1,,-1,"Po ruské invazi v únoru 2022 to mělo svůj význam, ale nepovažuji to za nezbytné. Naopak za nezbytné považuji, abychom Ukrajině v jejím zápase účinně pomáhali.",1,,-1,,-1,,-1,"Jde o symbol české státnosti, výhradně. Další vlajky tu mohou zavlát ad hoc např. při významné státní návštěvě, jinak ne. ",-1,
5. Měla by být možnost trestně stíhat prezidenta/ku i v době výkonu mandátu.,-1,,1,,-1,Trestní stíhání by mohlo být politicky zneužíváno.,-1,,-1,"Kdyby byl trestně stíhán v průběhu mandátu, nemohl by plnohodnotně vykonávat funkci hlavy státu.",-1,,-1,,-1,Současná úprava je v pořádku - prezidenta lze stíhat po vypršení mandátu. ,-1,
"6. Hranice 50 tisíc podpisů, jež musí kandidáti na prezidenta získat od občanů, by se měla snížit. ",-1,,-1,,1,,-1,Volební zákon bude třeba celý upřesnit. Současná podoba vytváří příliš mnoho nejistoty. ,-1,"Měla by se ale zavést možnost odeslat ověřený podpis pod petici kandidáta i elektronickou cestou, tak aby sběr podpisů neprobíhal pouze fyzicky.",1,,1,Umožnit i elektronicky,1,"Celý systém by se měl změnit. Jednou z možných cest je sběr menšího množství podpisů, ale rovnou ověřených (CzechPoint, Datové schránky). ",1,
7. Zákonodárci by měli podpořit vždy pouze jednoho kandidáta na prezidenta.,1,,1,,1,,1,,-1,,-1,,-1,,1,,-1,
"8. Prezident/ka má mít možnost udělovat milosti i nadále bez omezení, podle své úvahy. ",1,,-1,,1,,1,,1,"Ale měl by k nim přistupovat pouze ve výjimečných případech, zejména z humanitárních důvodů.",1,,1,,1,"Je to do jisté míry pozůstatek z feudálních dob, ale když tam je, pak ji takto nechme. Je to individuální akt. Že by si jej měl ale prezident veřejně obhájit považuji za zásadní. ",1,
9. Prezident/ka má podepsat dojednané mezinárodní smlouvy bez ohledu na svůj osobní postoj.,1,,1,,1,,1,,-1,"Prezident je součástí vyjednávacího procesu, takže jeho postoj by měl být zohledněn už před samotným podpisem. Pokud zohledněn není a prezident má závažné důvody s ratifikací nesouhlasit, měl by mít v krajní situaci možnost smlouvu nepodepsat v zájmu ochrany strategických zájmů ČR.",-1,viz komentář k předchozí otázce,1,,1,,1,Proces ratifikace mezinárodních smluv je dán zákonem.  Jde o spolupráci parlamentu a prezidenta. 
10. Prezident/ka má mít povinnost jmenovat navržené soudce/soudkyně.,1,,1,,1,,1,,-1,"Měl by postupovat podle znění Ústavy a zákonů - odpovědnost navrhovat soudce má ministerstvo spravedlnosti a prezident je následně jmenuje. Pouze v krajním případě, kdy kandidát nesplňuje elementární předpoklady pro výkon funkce, by měl mít prezident možnost vyjádřit pochybnosti.",-1,,-1,,-1,Je to obdobná situace jako u jmenování ministrů. Prezident disponuje informacemi např. od tajných služeb. ,-1,Prezident může odmítnou návrh výhradně na základě rozporu kandidáta se zákonem.
11. O výběru členů Bankovní rady České národní banky má i nadále rozhodovat pouze prezident/ka.,1,,-1,,1,,1,,-1,"Určitá forma spolurozhodování například se Senátem by byla na místě, protože jde o důležité funkce, na kterých by měla existovat širší shoda.",1,,1,,1,,1,
12. Prezident/ka by se měl/a zodpovídat za všechna svá rozhodnutí.,1,,1,,-1,,1,,-1,Podle Ústavy čl. 54 je ze své funkce neodpovědný.,1,To je snad logické,-1,,0,"Tato otázka je pro mne obtížně srozumitelná. Z výkonu své funkce prezident odpovědný (v trestně-právním smyslu) není, a to je v pořádku. Pokud máte na mysli zodpovídat se veřejnosti, svá rozhodnutí vysvětlit a obhájit, pak by byla odpověď ano. ",-1,
"13. Prezident/ka má po volbách pověřit jednáním o sestavení vlády vždy předsedu strany, která volby vyhrála.",1,,-1,"Toho, kdo má největší šanci sestavit stabilní vládu.",1,,-1,"Prezident může usilovat o to nalézt alternativní variantu, například pověřit šéfa seskupení politických stran koalice, z nichž žádná sice nebude vítězem, ale dohromady dají v parlamentu většinu. ",-1,"Důležitá je schopnost designovaného premiéra sestavit stabilní vládu s důvěrou poslanecké sněmovny, tedy opřenou o alespoň 101 hlasů poslanců.",1,,1,,1,,1,
"14. ČR by měla usilovat o udržování obchodních vztahů i se zeměmi, které porušují lidská práva.",1,,-1,,-1,,1,"Neměli bychom ale rezignovat na to, že i při obchodních vztazích je potřeba důležitost dodržování lidských práv připomínat",1,"Na prosazování lidských práv nesmíme rezignovat a jejich dodržování je potřeba prosazovat. Pokud je ale obchodování nutné s ohledem na závislost na nějaké surovině či technologii, musíme takové vztahy udržovat.",1,,1,Ale musí být podmíněno mezinárodními sankcemi.,1,Většina zemí světa má nižší standardy lidských práv než západní svět. Spíš se snažme ve vzájemném kontaktu tamní poměry zlepšovat. ,1,"Většina zemí na světě nejsou demokracie. Pokud konkrétní obchodní vztahy slouží k udržení otevřeného světa, pak není důvod jim bránit. Je třeba využít všechny možnosti k udržení propojeného světa. Současně si samozřejmě musíme dávat pozor, abychom se nestali ve strategických surovinách či zboží závislí na zemích, které toho mohou zneužít."
15. Prezident/ka má prosazovat politické názory převažující u většinové části společnosti.,1,,-1,,-1,,-1,,1,"Ve smyslu toho, že demokracie je vládou většiny.",1,ale musí vést společnost k dialogu s menšinami,-1,,-1,"Prezident se má chovat v souladu s programem, s nímž kandidoval. Ve funkci se pak má zastávat lidí obecně, být protivahou vládě (ať pravicové, nebo levicové). ",1,Prezident je volen většinou společnosti a reprezentuje tedy její názory. Jeho povinností je ale dle Ústavy bránit práva všech občanů.
16. Stát by měl mít povinnost vytvořit systém bezplatné právní pomoci pro všechny.,1,,1,,-1,,1,,-1,,1,,1,,0,,-1,
"17. Souhlasím s tvrzením, že v Česku neplatí spravedlnost pro všechny stejně.",1,,1,,-1,,1,,-1,,1,,-1,,-1,,-1,
18. Má se prezident/ka oficiálně setkávat s duchovním vůdcem Tibetu (dalajlámou)?,1,,1,,1,,1,Tibetský dalajláma je duchovní autorita a jako prezident bych se s ním chtěl setkat.,1,"Prezident se může setkávat s kýmkoli, kdo hodnotově odpovídá našemu vidění světa.",-1,Proč pouze s ním? jsme snad většinově budhisté?,1,,0,Zahraniční politiku určuje primárně vláda a prezident má danou linii dodržovat. ,1,
19. Podpořil/a byste zrušení Senátu?,1,,-1,,-1,,-1,,-1,Senát mnohokrát prokázal svoji funkci jako pojistka demokratického systému.,1,,-1,,-1,,-1,
